RAW_VALUE,VOLTAGE
 1408,0.176005
 1392,0.176005
 1408,0.174005
 1392,0.176005
 1408,0.174005
 1408,0.176005
 1408,0.176005
 1408,0.174005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1392,0.176005
 1392,0.174005
 1392,0.174005
 1392,0.174005
 1392,0.174005
 1392,0.174005
 1392,0.174005
 1408,0.174005
 1392,0.174005
 1392,0.174005
 1408,0.176005
 1392,0.176005
 1408,0.176005
 1408,0.178005
 1408,0.176005
 1424,0.176005
 1408,0.178005
 1424,0.176005
 1408,0.176005
 1424,0.178005
 1424,0.176005
 1408,0.176005
 1408,0.176005
 1424,0.178005
 1424,0.178005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1424,0.176005
 1440,0.176005
 1408,0.174005
 1408,0.176005
 1392,0.176005
 1392,0.174005
 1392,0.174005
 1392,0.174005
 1392,0.174005
 1408,0.174005
 1392,0.174005
 1392,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.178005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1424,0.176005
 1424,0.178005
 1424,0.176005
 1424,0.178005
 1424,0.178005
 1424,0.178005
 1424,0.178005
 1424,0.178005
 1408,0.176005
 1408,0.176005
 1408,0.178005
 1408,0.176005
 1408,0.174005
 1408,0.176005
 1408,0.176005
 1408,0.174005
 1408,0.176005
 1408,0.174005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.174005
 1392,0.176005
 1408,0.174005
 1408,0.174005
 1392,0.174005
 1408,0.174005
 1408,0.174005
 1408,0.174005
 1392,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1424,0.178005
 1424,0.178005
 1424,0.178005
 1424,0.178005
 1424,0.176005
 1408,0.176005
 1424,0.176005
 1408,0.176005
 1408,0.178005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1408,0.176005
 1392,0.180005
